Date,GSFC.NS
2016-05-30,58.51570510864258
2016-05-31,57.51371383666992
2016-06-01,58.11491394042969
2016-06-02,58.19507598876953
2016-06-03,58.9164924621582
2016-06-06,58.51570510864258
2016-06-07,58.83633804321289
2016-06-08,61.80220413208008
2016-06-09,61.64189529418945
2016-06-10,60.84029006958008
2016-06-13,60.03871536254883
2016-06-14,60.92045211791992
2016-06-15,60.439510345458984
2016-06-16,59.79824447631836
2016-06-17,59.47760772705078
2016-06-20,59.83831787109375
2016-06-21,60.11887741088867
2016-06-22,59.11689758300781
2016-06-23,58.635948181152344
2016-06-24,56.59190368652344
2016-06-27,57.4736328125
2016-06-28,58.51570510864258
2016-06-29,60.3994140625
2016-06-30,62.964500427246094
2016-07-01,62.80418014526367
2016-07-04,62.4434814453125
