Date,PERSISTENT.NS
2016-06-01,332.84930419921875
2016-06-02,328.3995056152344
2016-06-03,329.4611511230469
2016-06-06,327.47344970703125
2016-06-07,328.7156982421875
2016-06-08,325.6890563964844
2016-06-09,325.0791320800781
2016-06-10,320.832763671875
2016-06-13,322.88818359375
2016-06-14,318.2126159667969
2016-06-15,318.2352294921875
2016-06-16,318.4159240722656
2016-06-17,309.6067810058594
2016-06-20,312.4075927734375
2016-06-21,314.4856262207031
2016-06-22,316.6991882324219
2016-06-23,318.8450927734375
2016-06-24,321.5555114746094
2016-06-27,319.5452575683594
2016-06-28,317.21875
2016-06-29,314.6889953613281
2016-06-30,315.14068603515625
2016-07-01,311.54931640625
2016-07-04,308.9291076660156
2016-07-05,311.7073669433594
2016-07-07,303.0789794921875
2016-07-08,306.6929931640625
