Date,KALYANKJIL.NS
2021-12-27,66.90276336669922
2021-12-28,67.30070495605469
2021-12-29,66.7535400390625
2021-12-30,66.45509338378906
2021-12-31,68.09657287597656
2022-01-03,67.8976058959961
2022-01-04,70.53392028808594
2022-01-05,72.7225570678711
2022-01-06,71.47901916503906
2022-01-07,71.18057250976562
2022-01-10,71.13082122802734
2022-01-11,69.73805236816406
2022-01-12,69.48934173583984
2022-01-13,69.48934173583984
2022-01-14,69.5390853881836
2022-01-17,69.3401107788086
2022-01-18,68.39502716064453
2022-01-19,67.59915161132812
2022-01-20,67.5494155883789
2022-01-21,67.4499282836914
2022-01-24,64.76387023925781
2022-01-25,65.95767974853516
2022-01-27,65.31102752685547
2022-01-28,65.95767974853516
2022-01-31,66.20638275146484
2022-02-01,66.40534973144531
2022-02-02,69.38985443115234
