Date,SREN.SW
2016-05-20,49.13414764404297
2016-05-23,48.93533706665039
2016-05-24,49.84417724609375
2016-05-25,50.09979248046875
2016-05-26,50.49740219116211
2016-05-27,50.7246208190918
2016-05-30,50.781410217285156
2016-05-31,50.7246208190918
2016-06-01,50.44061279296875
2016-06-02,49.95778274536133
2016-06-03,49.75898361206055
2016-06-06,49.90098190307617
2016-06-07,50.014591217041016
2016-06-08,49.361351013183594
2016-06-09,48.7933349609375
2016-06-10,47.68568420410156
2016-06-13,46.35082244873047
2016-06-14,45.52718734741211
2016-06-15,45.72600173950195
2016-06-16,45.18637466430664
2016-06-17,45.86800765991211
2016-06-20,47.31646728515625
2016-06-21,47.37327575683594
2016-06-22,47.88449478149414
2016-06-23,48.31051254272461
2016-06-24,45.89640808105469
