Date,EQT
2016-04-28,35.3011589050293
2016-04-29,35.321319580078125
2016-05-02,34.87287139892578
2016-05-03,34.27831268310547
2016-05-04,34.358924865722656
2016-05-05,35.04923629760742
2016-05-06,35.034122467041016
2016-05-09,35.11473846435547
2016-05-10,35.86551284790039
2016-05-11,35.40679931640625
2016-05-12,35.60842514038086
2016-05-13,35.30598068237305
2016-05-16,35.210208892822266
2016-05-17,36.273807525634766
2016-05-18,35.4319953918457
2016-05-19,34.94302749633789
2016-05-20,35.00856399536133
2016-05-23,34.86741256713867
2016-05-24,35.40679931640625
2016-05-25,36.046974182128906
2016-05-26,36.85854721069336
2016-05-27,36.87871170043945
2016-05-31,36.9240837097168
2016-06-01,36.9240837097168
2016-06-02,37.196285247802734
2016-06-03,37.15595245361328
2016-06-06,37.342472076416016
