Date,IFCI.NS
2016-01-07,25.6517391204834
2016-01-08,26.033178329467773
2016-01-11,25.937820434570312
2016-01-12,25.317981719970703
2016-01-13,25.07958221435547
2016-01-14,24.555105209350586
2016-01-15,22.886310577392578
2016-01-18,20.97911834716797
2016-01-19,21.455917358398438
2016-01-20,20.454641342163086
2016-01-21,19.834802627563477
2016-01-22,20.883758544921875
2016-01-25,21.026798248291016
2016-01-27,21.12215805053711
2016-01-28,21.217517852783203
2016-01-29,21.265195846557617
2016-02-01,21.169837951660156
2016-02-02,21.789674758911133
2016-02-03,21.074478149414062
2016-02-04,21.646636962890625
2016-02-05,22.171113967895508
2016-02-08,22.55255126953125
2016-02-09,22.361833572387695
2016-02-10,21.074478149414062
2016-02-11,19.977842330932617
2016-02-12,20.168561935424805
2016-02-15,21.217517852783203
2016-02-16,20.549999237060547
2016-02-17,20.600000381469727
2016-02-18,20.549999237060547
2016-02-19,20.600000381469727
2016-02-22,20.75
2016-02-23,20.5
2016-02-24,20.450000762939453
2016-02-25,20.350000381469727
2016-02-26,21.0
2016-02-29,21.049999237060547
2016-03-01,21.75
2016-03-02,23.350000381469727
2016-03-03,23.25
2016-03-04,23.399999618530273
2016-03-08,23.100000381469727
2016-03-09,23.399999618530273
2016-03-10,23.200000762939453
2016-03-11,23.049999237060547
2016-03-14,23.25
2016-03-15,24.149999618530273
2016-03-16,24.200000762939453
2016-03-17,23.649999618530273
2016-03-18,24.200000762939453
2016-03-21,24.5
2016-03-22,24.350000381469727
2016-03-23,24.149999618530273
2016-03-28,23.399999618530273
2016-03-29,22.950000762939453
2016-03-30,24.149999618530273
2016-03-31,24.700000762939453
2016-04-01,24.950000762939453
2016-04-04,24.5
2016-04-05,24.149999618530273
2016-04-06,23.850000381469727
2016-04-07,23.700000762939453
2016-04-08,23.75
2016-04-11,24.149999618530273
2016-04-12,24.200000762939453
2016-04-13,24.700000762939453
2016-04-18,24.950000762939453
2016-04-20,25.149999618530273
2016-04-21,24.899999618530273
2016-04-22,26.200000762939453
2016-04-25,25.649999618530273
2016-04-26,25.850000381469727
2016-04-27,26.0
2016-04-28,25.399999618530273
2016-04-29,25.5
2016-05-02,25.25
2016-05-03,25.149999618530273
2016-05-04,24.25
2016-05-05,24.049999237060547
2016-05-06,24.100000381469727
2016-05-09,25.0
2016-05-10,24.899999618530273
2016-05-11,24.549999237060547
2016-05-12,24.5
2016-05-13,24.25
2016-05-16,24.25
2016-05-17,24.25
2016-05-18,24.149999618530273
2016-05-19,23.600000381469727
2016-05-20,23.450000762939453
2016-05-23,23.25
2016-05-24,22.850000381469727
2016-05-25,23.350000381469727
2016-05-26,23.549999237060547
2016-05-27,24.399999618530273
2016-05-30,24.700000762939453
2016-05-31,24.100000381469727
2016-06-01,23.899999618530273
2016-06-02,23.899999618530273
2016-06-03,23.649999618530273
