Date,SPGI
2016-04-28,98.91964721679688
2016-04-29,97.93887329101562
2016-05-02,98.2322006225586
2016-05-03,95.78486633300781
2016-05-04,95.59239196777344
2016-05-05,95.94068908691406
2016-05-06,95.57403564453125
2016-05-09,95.80316925048828
2016-05-10,96.2065200805664
2016-05-11,96.3714828491211
2016-05-12,97.12311553955078
2016-05-13,96.16983032226562
2016-05-16,97.6089096069336
2016-05-17,96.8847885131836
2016-05-18,98.12220001220703
2016-05-19,97.93887329101562
2016-05-20,99.0571517944336
2016-05-23,99.7629165649414
2016-05-24,102.6873779296875
2016-05-25,102.3103256225586
2016-05-26,101.51943969726562
2016-05-27,102.51266479492188
2016-05-31,102.82535552978516
2016-06-01,101.896484375
2016-06-02,101.5746078491211
2016-06-03,100.82968139648438
2016-06-06,101.39987182617188
