Date,BAX
2016-04-28,38.070533752441406
2016-04-29,38.03614044189453
2016-05-02,38.457611083984375
2016-05-03,38.182350158691406
2016-05-04,38.810272216796875
2016-05-05,38.96509552001953
2016-05-06,38.767269134521484
2016-05-09,38.83607482910156
2016-05-10,39.13712692260742
2016-05-11,39.90266036987305
2016-05-12,39.24894332885742
2016-05-13,39.154327392578125
2016-05-16,39.111328125
2016-05-17,38.36299133300781
2016-05-18,38.77587127685547
2016-05-19,37.124359130859375
2016-05-20,36.91792297363281
2016-05-23,36.728694915771484
2016-05-24,37.554439544677734
2016-05-25,37.41682815551758
2016-05-26,37.356605529785156
2016-05-27,37.25339126586914
2016-05-31,37.124359130859375
2016-06-01,37.3831901550293
2016-06-02,37.4694709777832
2016-06-03,37.512603759765625
2016-06-06,37.935367584228516
