Date,URI
2016-04-28,64.96826934814453
2016-04-29,65.08497619628906
2016-05-02,63.95695495605469
2016-05-03,61.739803314208984
2016-05-04,60.164459228515625
2016-05-05,59.35734176635742
2016-05-06,59.804656982421875
2016-05-09,59.337894439697266
2016-05-10,61.204959869384766
2016-05-11,60.05748748779297
2016-05-12,59.1920280456543
2016-05-13,58.18069839477539
2016-05-16,59.26009750366211
2016-05-17,62.50802993774414
2016-05-18,63.07204055786133
2016-05-19,62.33299255371094
2016-05-20,63.47072982788086
2016-05-23,63.169281005859375
2016-05-24,63.93749237060547
2016-05-25,66.21298217773438
2016-05-26,66.3199691772461
2016-05-27,66.51446533203125
2016-05-31,67.74944305419922
2016-06-01,67.53551483154297
2016-06-02,69.13029479980469
2016-06-03,69.30533599853516
2016-06-06,71.63916778564453
