Date,BMA.BA
2016-05-30,64.84898376464844
2016-05-31,65.0708236694336
2016-06-01,65.0708236694336
2016-06-02,68.1025161743164
2016-06-03,68.02857208251953
2016-06-06,68.39830017089844
2016-06-07,70.61662292480469
2016-06-08,69.72928619384766
2016-06-09,70.43174743652344
2016-06-10,71.3560562133789
2016-06-13,70.98634338378906
2016-06-14,71.87367248535156
2016-06-15,72.53917694091797
2016-06-16,72.2064208984375
2016-06-21,76.9018783569336
2016-06-22,77.3455581665039
2016-06-23,77.64131927490234
2016-06-24,75.57086944580078
2016-06-27,76.93885040283203
2016-06-28,79.8226547241211
2016-06-29,81.63429260253906
2016-06-30,82.891357421875
2016-07-01,82.07797241210938
2016-07-04,81.33853912353516
2016-07-05,81.89309692382812
2016-07-06,81.33853912353516
