Date,BRE.MI
2016-05-13,8.510061264038086
2016-05-16,8.550934791564941
2016-05-17,8.42831039428711
2016-05-18,8.362911224365234
2016-05-19,8.354737281799316
2016-05-20,8.411961555480957
2016-05-23,8.519913673400879
2016-05-24,8.453482627868652
2016-05-25,8.519913673400879
2016-05-26,8.511610984802246
2016-05-27,8.461785316467285
2016-05-30,8.470090866088867
2016-05-31,8.611259460449219
2016-06-01,8.636171340942383
2016-06-02,8.727514266967773
2016-06-03,8.727514266967773
2016-06-06,8.611259460449219
2016-06-07,8.960027694702148
2016-06-08,8.868682861328125
2016-06-09,8.860379219055176
2016-06-10,8.586345672607422
2016-06-13,8.275776863098145
2016-06-14,8.109696388244629
2016-06-15,8.304009437561035
2016-06-16,8.3123140335083
2016-06-17,8.602953910827637
2016-06-20,8.860379219055176
