Date,NETC.CO
2019-03-04,232.5763702392578
2019-03-05,232.0772705078125
2019-03-06,232.37672424316406
2019-03-07,232.0772705078125
2019-03-08,224.191650390625
2019-03-11,226.98654174804688
2019-03-12,224.69073486328125
2019-03-13,222.14537048339844
2019-03-14,221.14718627929688
2019-03-15,221.5963592529297
2019-03-18,219.64991760253906
2019-03-19,219.60000610351562
2019-03-20,218.1526336669922
2019-03-21,217.45391845703125
2019-03-22,219.60000610351562
2019-03-25,219.300537109375
2019-03-26,217.6036376953125
2019-03-27,223.09364318847656
2019-03-28,226.4375457763672
2019-03-29,237.86672973632812
2019-04-01,237.76690673828125
2019-04-02,240.1625518798828
2019-04-03,245.552734375
2019-04-04,243.95562744140625
2019-04-05,243.55636596679688
2019-04-08,240.76145935058594
2019-04-09,242.35855102539062
