Date,NESN.SW
2016-05-20,56.43628692626953
2016-05-23,56.59132385253906
2016-05-24,57.056461334228516
2016-05-25,56.90141296386719
2016-05-26,57.56035614013672
2016-05-27,57.56035614013672
2016-05-30,57.48283767700195
2016-05-31,56.90141296386719
2016-06-01,56.90141296386719
2016-06-02,56.94017028808594
2016-06-03,56.8626594543457
2016-06-06,56.978939056396484
2016-06-07,57.32777404785156
2016-06-08,56.90141296386719
2016-06-09,56.59132385253906
2016-06-10,55.893619537353516
2016-06-13,55.00211715698242
2016-06-14,54.265655517578125
2016-06-15,54.34317398071289
2016-06-16,54.11061477661133
2016-06-17,54.07184600830078
2016-06-20,55.15716552734375
2016-06-21,55.69982147216797
2016-06-22,55.583526611328125
2016-06-23,56.087432861328125
2016-06-24,55.428497314453125
