Date,PPH.L
2021-02-19,1329.0601806640625
2021-02-22,1379.02490234375
2021-02-23,1379.02490234375
2021-02-24,1379.02490234375
2021-02-25,1379.02490234375
2021-02-26,1379.02490234375
2021-03-01,1399.0106201171875
2021-03-02,1414.0001220703125
2021-03-03,1423.9931640625
2021-03-04,1418.996337890625
2021-03-05,1428.989501953125
2021-03-08,1458.96826171875
2021-03-09,1473.957763671875
2021-03-10,1518.926025390625
2021-03-11,1548.90478515625
2021-03-12,1588.87646484375
2021-03-15,1603.8658447265625
2021-03-16,1638.841064453125
2021-03-17,1623.851806640625
2021-03-18,1623.851806640625
2021-03-19,1638.841064453125
2021-03-22,1623.851806640625
2021-03-23,1628.84814453125
2021-03-24,1588.87646484375
2021-03-25,1573.8870849609375
2021-03-26,1568.8905029296875
2021-03-29,1578.8834228515625
2021-03-30,1563.8941650390625
2021-03-31,1503.9365234375
2021-04-01,1488.947265625
2021-04-06,1488.947265625
2021-04-07,1578.8834228515625
2021-04-08,1616.8565673828125
2021-04-09,1658.8270263671875
2021-04-12,1600.867919921875
2021-04-13,1650.8326416015625
2021-04-14,1736.77197265625
2021-04-15,1772.746337890625
2021-04-16,1732.7745361328125
2021-04-19,1734.7733154296875
2021-04-20,1708.791748046875
2021-04-21,1724.7802734375
2021-04-22,1724.7802734375
2021-04-23,1698.798828125
2021-04-26,1746.7647705078125
2021-04-27,1704.79443359375
2021-04-28,1714.7874755859375
2021-04-29,1692.8028564453125
2021-04-30,1692.8028564453125
2021-05-04,1678.812744140625
2021-05-05,1678.812744140625
2021-05-06,1678.812744140625
2021-05-07,1748.763427734375
2021-05-10,1746.7647705078125
2021-05-11,1746.7647705078125
2021-05-12,1722.78173828125
2021-05-13,1724.7802734375
2021-05-14,1728.777587890625
2021-05-17,1728.777587890625
2021-05-18,1728.777587890625
2021-05-19,1722.78173828125
2021-05-20,1708.791748046875
2021-05-21,1708.791748046875
2021-05-24,1672.8170166015625
2021-05-25,1698.798828125
2021-05-26,1658.8270263671875
2021-05-27,1678.812744140625
2021-05-28,1688.8057861328125
2021-06-01,1696.800048828125
2021-06-02,1708.791748046875
2021-06-03,1650.8326416015625
2021-06-04,1682.809814453125
2021-06-07,1640.8397216796875
2021-06-08,1688.8057861328125
2021-06-09,1662.8240966796875
2021-06-10,1698.798828125
2021-06-11,1620.8538818359375
2021-06-14,1648.833984375
2021-06-15,1648.833984375
2021-06-16,1626.8494873046875
2021-06-17,1672.8170166015625
2021-06-18,1714.7874755859375
2021-06-21,1668.8199462890625
2021-06-22,1668.8199462890625
2021-06-23,1648.833984375
2021-06-24,1628.84814453125
2021-06-25,1648.833984375
2021-06-28,1670.8184814453125
2021-06-29,1640.8397216796875
2021-06-30,1702.7958984375
2021-07-01,1688.8057861328125
2021-07-02,1698.798828125
2021-07-05,1658.8270263671875
2021-07-06,1688.8057861328125
2021-07-07,1648.833984375
2021-07-08,1638.841064453125
2021-07-09,1638.841064453125
2021-07-12,1638.841064453125
2021-07-13,1638.841064453125
2021-07-14,1638.841064453125
2021-07-15,1634.843994140625
2021-07-16,1634.843994140625
2021-07-19,1468.961181640625
2021-07-20,1488.947265625
2021-07-21,1512.9300537109375
2021-07-22,1478.9542236328125
2021-07-23,1470.9598388671875
2021-07-26,1516.9273681640625
2021-07-27,1484.949951171875
2021-07-28,1478.9542236328125
2021-07-29,1498.9400634765625
2021-07-30,1548.90478515625
2021-08-02,1498.9400634765625
2021-08-03,1542.9088134765625
2021-08-04,1548.90478515625
2021-08-05,1508.932861328125
2021-08-06,1488.947265625
2021-08-09,1460.9669189453125
2021-08-10,1498.9400634765625
2021-08-11,1498.9400634765625
2021-08-12,1518.926025390625
2021-08-13,1508.932861328125
2021-08-16,1486.9483642578125
2021-08-17,1498.9400634765625
2021-08-18,1488.947265625
2021-08-19,1484.949951171875
2021-08-20,1512.9300537109375
2021-08-23,1486.9483642578125
2021-08-24,1452.9725341796875
2021-08-25,1486.9483642578125
2021-08-26,1452.9725341796875
2021-08-27,1488.947265625
2021-08-31,1518.926025390625
2021-09-01,1444.9781494140625
2021-09-02,1456.9697265625
2021-09-03,1448.9752197265625
2021-09-06,1448.9752197265625
2021-09-07,1448.9752197265625
2021-09-08,1424.992431640625
2021-09-09,1428.989501953125
2021-09-10,1448.9752197265625
2021-09-13,1426.9908447265625
2021-09-14,1401.00927734375
2021-09-15,1379.02490234375
2021-09-16,1341.051513671875
2021-09-17,1359.0389404296875
2021-09-20,1422.9937744140625
2021-09-21,1418.996337890625
2021-09-22,1428.989501953125
2021-09-23,1399.0106201171875
2021-09-24,1399.0106201171875
2021-09-27,1385.0205078125
2021-09-28,1389.0177001953125
2021-09-29,1399.0106201171875
2021-09-30,1458.96826171875
2021-10-01,1420.9951171875
2021-10-04,1273.0997314453125
2021-10-05,1349.0460205078125
2021-10-06,1335.0557861328125
2021-10-07,1349.0460205078125
2021-10-08,1395.013671875
2021-10-11,1375.0277099609375
2021-10-12,1373.0291748046875
2021-10-13,1385.0205078125
2021-10-14,1367.0333251953125
2021-10-15,1363.0360107421875
2021-10-18,1331.058837890625
2021-10-19,1349.0460205078125
2021-10-20,1349.0460205078125
2021-10-21,1349.0460205078125
2021-10-22,1349.0460205078125
2021-10-25,1367.0333251953125
2021-10-26,1355.0416259765625
2021-10-27,1349.0460205078125
2021-10-28,1401.00927734375
2021-10-29,1397.0120849609375
2021-11-01,1367.0333251953125
2021-11-02,1349.0460205078125
2021-11-03,1349.0460205078125
2021-11-04,1351.044677734375
2021-11-05,1331.058837890625
2021-11-08,1319.0672607421875
2021-11-09,1335.0557861328125
2021-11-10,1337.054443359375
2021-11-11,1347.0474853515625
2021-11-12,1372.0299072265625
2021-11-15,1359.0389404296875
2021-11-16,1359.0389404296875
2021-11-17,1361.03759765625
2021-11-18,1361.03759765625
2021-11-19,1373.0291748046875
2021-11-22,1375.0277099609375
2021-11-23,1369.0318603515625
2021-11-24,1339.05322265625
2021-11-25,1363.0360107421875
2021-11-26,1349.0460205078125
2021-11-29,1351.044677734375
2021-11-30,1379.02490234375
2021-12-01,1369.0318603515625
2021-12-02,1351.044677734375
2021-12-03,1389.0177001953125
2021-12-06,1381.0233154296875
2021-12-07,1391.0162353515625
2021-12-08,1468.961181640625
2021-12-09,1448.9752197265625
2021-12-10,1411.0023193359375
2021-12-13,1399.0106201171875
2021-12-14,1428.989501953125
2021-12-15,1383.0220947265625
2021-12-16,1349.0460205078125
2021-12-17,1379.02490234375
2021-12-20,1351.044677734375
2021-12-21,1399.0106201171875
2021-12-22,1409.0035400390625
2021-12-23,1409.0035400390625
2021-12-24,1349.0460205078125
2021-12-29,1349.0460205078125
2021-12-30,1411.0023193359375
2021-12-31,1430.988037109375
2022-01-04,1444.9781494140625
2022-01-05,1478.9542236328125
2022-01-06,1438.982421875
2022-01-07,1405.0064697265625
2022-01-10,1397.0120849609375
2022-01-11,1383.0220947265625
2022-01-12,1418.996337890625
2022-01-13,1399.0106201171875
2022-01-14,1432.9866943359375
2022-01-17,1397.0120849609375
2022-01-18,1401.00927734375
2022-01-19,1405.0064697265625
2022-01-20,1418.996337890625
2022-01-21,1369.0318603515625
2022-01-24,1329.0601806640625
2022-01-25,1329.0601806640625
