Date,UL.PA
2024-01-10,61.14595413208008
2024-01-11,60.62839126586914
2024-01-12,61.44169998168945
2024-01-16,61.79290008544922
2024-01-17,60.68384552001953
2024-01-18,59.79659652709961
2024-01-19,59.83356475830078
2024-01-22,59.75963592529297
2024-01-23,59.667205810546875
2024-01-24,61.62654113769531
2024-01-25,62.18107223510742
2024-01-26,61.718963623046875
2024-01-29,61.73744583129883
2024-01-30,61.848350524902344
2024-01-31,61.90380859375
2024-02-01,60.388092041015625
2024-02-02,60.68384552001953
2024-02-05,60.388092041015625
2024-02-06,60.68384552001953
2024-02-07,61.82986831665039
2024-02-08,64.76886749267578
2024-02-09,65.21248626708984
2024-02-12,66.8945541381836
2024-02-13,64.10343170166016
2024-02-14,63.78919219970703
2024-02-15,65.23097229003906
2024-02-16,64.71340942382812
