Date,FANG
2016-04-28,68.13272094726562
2016-04-29,67.8974838256836
2016-05-02,68.7052001953125
2016-05-03,66.57996368408203
2016-05-04,66.00748443603516
2016-05-05,68.76007080078125
2016-05-06,67.01913452148438
2016-05-09,67.23086547851562
2016-05-10,68.5483627319336
2016-05-11,67.82685852050781
2016-05-12,68.33658599853516
2016-05-13,67.04266357421875
2016-05-16,67.8974838256836
2016-05-17,68.17977905273438
2016-05-18,68.17195892333984
2016-05-19,68.17195892333984
2016-05-20,68.24250030517578
2016-05-23,68.10135650634766
2016-05-24,68.98751831054688
2016-05-25,70.37556457519531
2016-05-26,72.07733154296875
2016-05-27,72.82234191894531
2016-05-31,71.324462890625
2016-06-01,71.7793197631836
2016-06-02,72.47726440429688
2016-06-03,70.66572570800781
2016-06-06,71.26174926757812
