Date,RMV.L
2021-02-24,614.7914428710938
2021-02-25,605.5975341796875
2021-02-26,564.6248168945312
2021-03-01,589.2084350585938
2021-03-02,596.4036254882812
2021-03-03,583.6123046875
2021-03-04,582.4129028320312
2021-03-05,564.8246459960938
2021-03-08,559.2283935546875
2021-03-09,579.6148071289062
2021-03-10,570.4209594726562
2021-03-11,573.0191040039062
2021-03-12,561.22705078125
2021-03-15,559.2283935546875
2021-03-16,573.0191040039062
2021-03-17,555.4308471679688
2021-03-18,567.4229736328125
2021-03-19,567.4229736328125
2021-03-22,586.6101684570312
2021-03-23,593.8053588867188
2021-03-24,587.0098876953125
2021-03-25,591.00732421875
2021-03-26,594.6047973632812
2021-03-29,579.4149780273438
2021-03-30,586.6101684570312
2021-03-31,581.8133544921875
2021-04-01,595.2044067382812
2021-04-06,601.2003784179688
2021-04-07,602.399658203125
2021-04-08,612.9926147460938
2021-04-09,617.9894409179688
2021-04-12,600.201171875
2021-04-13,616.3903198242188
2021-04-14,606.99658203125
2021-04-15,617.589599609375
2021-04-16,609.9945678710938
2021-04-19,610.3944091796875
2021-04-20,602.1998291015625
2021-04-21,599.4016723632812
2021-04-22,618.5889282226562
2021-04-23,618.5889282226562
2021-04-26,618.9887084960938
2021-04-27,622.3864135742188
2021-04-28,611.393798828125
2021-04-29,614.037109375
2021-04-30,613.6373901367188
2021-05-04,600.2453002929688
2021-05-05,601.24462890625
2021-05-06,595.4480590820312
2021-05-07,606.6415405273438
2021-05-10,587.8526000976562
2021-05-11,569.8632202148438
2021-05-12,569.0637817382812
2021-05-13,569.4635009765625
2021-05-14,577.6585693359375
2021-05-17,568.86376953125
2021-05-18,577.458740234375
2021-05-19,578.4580688476562
2021-05-20,600.6449584960938
2021-05-21,588.652099609375
2021-05-24,591.6503295898438
2021-05-25,600.0454711914062
2021-05-26,603.4432983398438
2021-05-27,599.2457885742188
2021-05-28,602.6438598632812
2021-06-01,605.2422485351562
2021-06-02,603.2435302734375
2021-06-03,606.2416381835938
2021-06-04,613.2376098632812
2021-06-07,618.6344604492188
2021-06-08,620.0336303710938
2021-06-09,622.2322387695312
2021-06-10,633.8253784179688
2021-06-11,646.0182495117188
2021-06-14,652.6143188476562
2021-06-15,645.018798828125
2021-06-16,655.4126586914062
2021-06-17,656.2122192382812
2021-06-18,649.21630859375
2021-06-21,652.4144287109375
2021-06-22,653.2139282226562
2021-06-23,653.8135375976562
2021-06-24,664.2073974609375
2021-06-25,662.4085083007812
2021-06-28,664.4074096679688
2021-06-29,659.6101684570312
2021-06-30,649.0165405273438
2021-07-01,657.0117797851562
2021-07-02,652.8142700195312
2021-07-05,653.4139404296875
2021-07-06,658.6107177734375
2021-07-07,660.8094482421875
2021-07-08,647.6173706054688
2021-07-09,647.8172607421875
2021-07-12,655.6126098632812
2021-07-13,666.6060791015625
2021-07-14,664.8072509765625
2021-07-15,662.4085083007812
2021-07-16,668.8047485351562
2021-07-19,656.4120483398438
2021-07-20,653.0140991210938
2021-07-21,657.4114990234375
2021-07-22,671.4033203125
2021-07-23,672.6024780273438
2021-07-26,667.805419921875
2021-07-27,670.4038696289062
2021-07-28,675.6007080078125
2021-07-29,679.79833984375
2021-07-30,701.7852783203125
2021-08-02,718.5753173828125
2021-08-03,722.9728393554688
2021-08-04,728.36962890625
2021-08-05,728.7693481445312
2021-08-06,715.1774291992188
2021-08-09,705.3831787109375
2021-08-10,706.782470703125
2021-08-11,703.3843383789062
2021-08-12,702.18505859375
2021-08-13,697.78759765625
2021-08-16,694.9892578125
2021-08-17,696.7882690429688
2021-08-18,706.5824584960938
2021-08-19,706.382568359375
2021-08-20,705.9827880859375
2021-08-23,704.7835693359375
2021-08-24,701.7852783203125
2021-08-25,702.5848388671875
2021-08-26,703.3843383789062
2021-08-27,699.7864990234375
2021-08-31,700.9857788085938
2021-09-01,720.1744384765625
2021-09-02,726.3707885742188
2021-09-03,723.7722778320312
2021-09-06,731.16796875
2021-09-07,739.9627685546875
2021-09-08,738.1637573242188
2021-09-09,736.1649780273438
2021-09-10,745.9592895507812
2021-09-13,731.3677978515625
2021-09-14,734.9656982421875
2021-09-15,734.5660400390625
2021-09-16,746.35888671875
2021-09-17,729.768798828125
2021-09-20,721.173828125
2021-09-21,733.166748046875
2021-09-22,736.9644165039062
2021-09-23,742.5611572265625
2021-09-24,718.3753662109375
2021-09-27,692.5907592773438
2021-09-28,678.3990478515625
2021-09-29,687.5936889648438
2021-09-30,683.0262451171875
2021-10-01,682.2265625
2021-10-04,668.634033203125
2021-10-05,679.6280517578125
2021-10-06,665.8356323242188
2021-10-07,678.8285522460938
2021-10-08,670.0333251953125
2021-10-11,662.6373291015625
2021-10-12,667.2347412109375
2021-10-13,684.2254638671875
2021-10-14,691.2216796875
2021-10-15,692.6209716796875
2021-10-18,695.41943359375
2021-10-19,698.417724609375
2021-10-20,707.412841796875
2021-10-21,711.2107543945312
2021-10-22,702.41552734375
2021-10-25,700.0169067382812
2021-10-26,707.2128295898438
2021-10-27,700.8164672851562
2021-10-28,701.2162475585938
2021-10-29,691.0218505859375
2021-11-01,693.8203125
2021-11-02,698.2178344726562
2021-11-03,698.61767578125
