Date,BAG.L
2020-07-28,436.5722961425781
2020-07-29,443.5654296875
2020-07-30,428.08056640625
2020-07-31,429.5791320800781
2020-08-03,420.58795166015625
2020-08-04,421.58697509765625
2020-08-05,439.06982421875
2020-08-06,434.07476806640625
2020-08-07,435.0736999511719
2020-08-10,432.5762023925781
2020-08-11,435.5732421875
2020-08-12,438.0708312988281
2020-08-13,439.5693054199219
2020-08-14,434.57421875
2020-08-17,435.0736999511719
2020-08-18,428.08056640625
2020-08-19,417.59088134765625
2020-08-20,419.5888671875
2020-08-21,413.59478759765625
2020-08-24,416.0923156738281
2020-08-25,430.0786437988281
2020-08-26,424.5840148925781
2020-08-27,428.08056640625
2020-08-28,424.5840148925781
2020-09-01,422.5859680175781
2020-09-02,419.5888671875
2020-09-03,382.6251525878906
2020-09-04,391.1168212890625
2020-09-07,387.62017822265625
2020-09-08,392.6153259277344
2020-09-09,387.1206970214844
2020-09-10,386.6211853027344
2020-09-11,378.6290283203125
2020-09-14,372.6349182128906
2020-09-15,373.6339416503906
2020-09-16,376.1315002441406
2020-09-17,376.6309509277344
2020-09-18,384.6231689453125
2020-09-21,372.1353759765625
2020-09-22,429.5791320800781
2020-09-23,434.57421875
2020-09-24,443.5654296875
2020-09-25,445.56341552734375
2020-09-28,449.5595397949219
2020-09-29,448.5605163574219
2020-09-30,486.5233459472656
2020-10-01,470.5389709472656
2020-10-02,465.0444030761719
2020-10-05,466.04339599609375
2020-10-06,466.5429382324219
2020-10-07,473.5360412597656
2020-10-08,470.0394592285156
2020-10-09,471.53802490234375
2020-10-12,471.0384826660156
2020-10-13,469.53997802734375
2020-10-14,465.5438537597656
2020-10-15,459.54974365234375
2020-10-16,468.0414733886719
2020-10-19,477.03265380859375
2020-10-20,471.53802490234375
2020-10-21,474.5350646972656
2020-10-22,474.0355529785156
2020-10-23,500.5096130371094
2020-10-26,493.0169677734375
2020-10-27,479.0306396484375
2020-10-28,470.0394592285156
2020-10-29,468.0414733886719
2020-10-30,471.0384826660156
2020-11-02,450.55859375
2020-11-03,460.5487976074219
2020-11-04,474.0355529785156
2020-11-05,465.0444030761719
2020-11-06,464.54486083984375
2020-11-09,492.0179138183594
2020-11-10,503.5066833496094
2020-11-11,506.50372314453125
2020-11-12,499.5105895996094
2020-11-13,516.4939575195312
2020-11-16,513.4967651367188
2020-11-17,522.4880981445312
2020-11-18,518.4920043945312
2020-11-19,516.4939575195312
2020-11-20,516.4939575195312
2020-11-23,521.4890747070312
2020-11-24,522.4880981445312
2020-11-25,516.4939575195312
2020-11-26,514.4959106445312
2020-11-27,514.4959106445312
2020-11-30,499.0111389160156
2020-12-01,523.4871215820312
2020-12-02,520.489990234375
2020-12-03,520.489990234375
2020-12-04,517.4930419921875
2020-12-07,506.50372314453125
2020-12-08,510.4998779296875
2020-12-09,503.5066833496094
2020-12-10,498.5115966796875
2020-12-11,504.5057067871094
2020-12-14,506.50372314453125
2020-12-15,508.5018005371094
2020-12-16,504.5057067871094
2020-12-17,505.5047302246094
2020-12-18,509.50079345703125
2020-12-21,504.5057067871094
2020-12-22,504.5057067871094
2020-12-23,520.489990234375
2020-12-24,510.4998779296875
2020-12-29,530.480224609375
2020-12-30,522.4880981445312
2020-12-31,518.4920043945312
2021-01-04,520.489990234375
2021-01-05,523.4871215820312
2021-01-06,512.4979248046875
2021-01-07,504.5057067871094
2021-01-08,509.50079345703125
2021-01-11,510.4998779296875
2021-01-12,506.50372314453125
2021-01-13,507.5027770996094
2021-01-14,502.5076599121094
2021-01-15,507.5027770996094
2021-01-18,504.5057067871094
2021-01-19,499.5105895996094
2021-01-20,493.0169677734375
2021-01-21,491.0189514160156
2021-01-22,486.5233459472656
2021-01-25,496.0140380859375
2021-01-26,499.5105895996094
2021-01-27,496.0140380859375
2021-01-28,486.5233459472656
2021-01-29,489.5203552246094
2021-02-01,493.0169677734375
2021-02-02,503.5066833496094
2021-02-03,500.5096130371094
2021-02-04,489.5203552246094
2021-02-05,502.5076599121094
2021-02-08,496.5135803222656
2021-02-09,499.5105895996094
2021-02-10,499.5105895996094
2021-02-11,493.0169677734375
2021-02-12,490.5194091796875
2021-02-15,486.5233459472656
2021-02-16,489.5203552246094
2021-02-17,491.5184326171875
2021-02-18,499.5105895996094
2021-02-19,481.0287780761719
2021-02-22,474.5350646972656
2021-02-23,494.0160217285156
2021-02-24,489.5203552246094
2021-02-25,503.5066833496094
2021-02-26,500.5096130371094
2021-03-01,500.5096130371094
2021-03-02,503.5066833496094
2021-03-03,501.5086669921875
2021-03-04,490.5194091796875
2021-03-05,509.50079345703125
2021-03-08,494.5155029296875
2021-03-09,505.5047302246094
2021-03-10,500.5096130371094
2021-03-11,509.50079345703125
2021-03-12,503.5066833496094
2021-03-15,504.5057067871094
2021-03-16,500.5096130371094
2021-03-17,502.5076599121094
2021-03-18,488.5213928222656
2021-03-19,469.0404968261719
