Date,APLLTD.NS
2016-06-02,502.1194152832031
2016-06-03,498.2607421875
2016-06-06,501.401611328125
2016-06-07,501.35662841796875
2016-06-08,502.6129455566406
2016-06-09,499.20294189453125
2016-06-10,503.37579345703125
2016-06-13,503.0615539550781
2016-06-14,493.7738952636719
2016-06-15,490.0497741699219
2016-06-16,476.9483947753906
2016-06-17,472.9550476074219
2016-06-20,473.987060546875
2016-06-21,486.998779296875
2016-06-22,479.64044189453125
2016-06-23,482.4671936035156
2016-06-24,483.6786193847656
2016-06-27,486.8642578125
2016-06-28,486.5501708984375
2016-06-29,491.7099914550781
2016-06-30,514.9067993164062
2016-07-01,523.2073974609375
2016-07-04,520.64990234375
2016-07-05,518.7654418945312
2016-07-07,520.7844848632812
2016-07-08,537.8793334960938
2016-07-11,536.1741943359375
