Date,BAVA.CO
2016-05-25,202.5128936767578
2016-05-26,203.30397033691406
2016-05-27,198.95310974121094
2016-05-30,198.95310974121094
2016-05-31,202.11737060546875
2016-06-01,196.1843719482422
2016-06-02,193.02011108398438
2016-06-03,190.64691162109375
2016-06-06,191.43797302246094
2016-06-07,189.85585021972656
2016-06-08,202.5128936767578
2016-06-09,200.13970947265625
2016-06-10,187.878173828125
2016-06-13,181.54965209960938
2016-06-14,178.38539123535156
2016-06-15,178.38539123535156
2016-06-16,170.07919311523438
2016-06-17,175.2211151123047
2016-06-20,179.17645263671875
2016-06-21,175.6166534423828
2016-06-22,178.38539123535156
2016-06-23,180.36305236816406
2016-06-24,172.452392578125
2016-06-27,165.72833251953125
2016-06-28,172.84793090820312
2016-06-29,185.50497436523438
2016-06-30,184.31837463378906
