Date,CB
2016-04-28,98.79450225830078
2016-04-29,99.35931396484375
2016-05-02,100.27820587158203
2016-05-03,99.696533203125
2016-05-04,99.32560729980469
2016-05-05,103.23727416992188
2016-05-06,103.1445541381836
2016-05-09,103.6081771850586
2016-05-10,105.56402587890625
2016-05-11,104.33321380615234
2016-05-12,105.69889831542969
2016-05-13,105.47972106933594
2016-05-16,105.62303924560547
2016-05-17,104.58611297607422
2016-05-18,105.90122985839844
2016-05-19,105.25210571289062
2016-05-20,106.01084899902344
2016-05-23,106.12042236328125
2016-05-24,107.11519622802734
2016-05-25,107.20792388916016
2016-05-26,106.53351593017578
2016-05-27,107.25005340576172
2016-05-31,106.73583221435547
2016-06-01,107.34281158447266
2016-06-02,107.74746704101562
2016-06-03,107.53669738769531
2016-06-06,106.89598846435547
