Date,COST.L
2016-05-20,323.2300720214844
2016-05-23,327.6932067871094
2016-05-24,328.86773681640625
2016-05-25,338.2640075683594
2016-05-26,341.0828552246094
2016-05-27,338.96868896484375
2016-05-31,340.847900390625
2016-06-01,337.3243408203125
2016-06-02,339.90826416015625
2016-06-03,338.2640075683594
2016-06-06,337.3243408203125
2016-06-07,334.975341796875
2016-06-08,336.61956787109375
2016-06-09,335.4451904296875
2016-06-10,327.4584045410156
2016-06-13,317.1224670410156
2016-06-14,304.20263671875
2016-06-15,311.71954345703125
2016-06-16,306.31683349609375
2016-06-17,314.7734375
2016-06-20,323.69976806640625
2016-06-21,323.69976806640625
2016-06-22,324.1695556640625
2016-06-23,324.1695556640625
2016-06-24,299.9743347167969
2016-06-27,258.1611633300781
2016-06-28,272.49041748046875
