Date,ALFA.ST
2016-05-20,107.7081527709961
2016-05-23,107.02645874023438
2016-05-24,107.19688415527344
2016-05-25,107.7081527709961
2016-05-26,109.24197387695312
2016-05-27,107.3673095703125
2016-05-30,107.96379089355469
2016-05-31,107.45252990722656
2016-06-01,108.21944427490234
2016-06-02,108.30464172363281
2016-06-03,106.34476470947266
2016-06-07,109.32718658447266
2016-06-08,111.62791442871094
2016-06-09,110.86100769042969
2016-06-10,108.9863510131836
2016-06-13,107.19688415527344
2016-06-14,106.00392150878906
2016-06-15,108.13422393798828
2016-06-16,104.6405258178711
2016-06-17,106.17433166503906
2016-06-20,110.60538482666016
2016-06-21,111.88355255126953
2016-06-22,112.30960845947266
2016-06-23,115.0363998413086
2016-06-27,104.6405258178711
2016-06-28,105.918701171875
2016-06-29,110.43495178222656
