Date,VOE.VI
2016-05-25,21.36800765991211
2016-05-27,21.946693420410156
2016-05-30,22.06243324279785
2016-05-31,22.268587112426758
2016-06-01,21.317371368408203
2016-06-02,22.239656448364258
2016-06-03,22.409643173217773
2016-06-06,22.79663848876953
2016-06-07,23.205339431762695
2016-06-08,23.10045051574707
2016-06-09,22.840044021606445
2016-06-10,22.69898796081543
2016-06-13,21.534379959106445
2016-06-14,21.364391326904297
2016-06-15,22.011795043945312
2016-06-16,21.61394691467285
2016-06-17,22.380706787109375
2016-06-20,23.20172119140625
2016-06-21,23.14746856689453
2016-06-22,23.05343246459961
2016-06-23,23.675519943237305
2016-06-24,22.351774215698242
2016-06-27,20.7712345123291
2016-06-28,20.655500411987305
2016-06-29,20.79655647277832
2016-06-30,21.715219497680664
