Date,ES
2016-04-28,41.02710723876953
2016-04-29,41.30519485473633
2016-05-02,41.76626205444336
2016-05-03,41.69308853149414
2016-05-04,42.08826446533203
2016-05-05,42.00776672363281
2016-05-06,41.83212661743164
2016-05-09,42.13951110839844
2016-05-10,42.110225677490234
2016-05-11,41.97849655151367
2016-05-12,42.17610168457031
2016-05-13,42.000450134277344
2016-05-16,41.993125915527344
2016-05-17,40.85145568847656
2016-05-18,40.097652435302734
2016-05-19,40.46358108520508
2016-05-20,40.18547821044922
2016-05-23,39.6365966796875
2016-05-24,40.00984573364258
2016-05-25,39.739051818847656
2016-05-26,40.43635559082031
2016-05-27,40.591312408447266
2016-05-31,40.76103591918945
2016-06-01,40.96764373779297
2016-06-02,40.84220504760742
2016-06-03,41.439884185791016
2016-06-06,41.18901062011719
