Date,KMB
2016-04-28,92.4451675415039
2016-04-29,91.67627716064453
2016-05-02,91.69820404052734
2016-05-03,92.36461639404297
2016-05-04,93.68275451660156
2016-05-05,93.26532745361328
2016-05-06,93.6754150390625
2016-05-09,93.8292236328125
2016-05-10,94.63471984863281
2016-05-11,94.34182739257812
2016-05-12,95.24253845214844
2016-05-13,94.60545349121094
2016-05-16,94.89102935791016
2016-05-17,92.57695770263672
2016-05-18,92.3572769165039
2016-05-19,92.85526275634766
2016-05-20,92.3133544921875
2016-05-23,92.2328109741211
2016-05-24,92.82596588134766
2016-05-25,93.15550231933594
2016-05-26,93.6754150390625
2016-05-27,94.06353759765625
2016-05-31,93.03102111816406
2016-06-01,93.71936798095703
2016-06-02,93.7340087890625
2016-06-03,95.25719451904297
2016-06-06,95.32307434082031
