Date,POST.VI
2016-05-25,19.629127502441406
2016-05-27,19.710865020751953
2016-05-30,19.934886932373047
2016-05-31,19.492900848388672
2016-06-01,19.253742218017578
2016-06-02,19.335477828979492
2016-06-03,19.25676727294922
2016-06-06,19.265851974487305
2016-06-07,19.220439910888672
2016-06-08,18.666440963745117
2016-06-09,18.92679214477539
2016-06-10,18.657358169555664
2016-06-13,18.23050880432129
2016-06-14,17.936859130859375
2016-06-15,18.027677536010742
2016-06-16,17.740081787109375
2016-06-17,17.746135711669922
2016-06-20,18.012540817260742
2016-06-21,17.958051681518555
2016-06-22,17.800628662109375
2016-06-23,17.8581485748291
2016-06-24,17.07406997680664
2016-06-27,16.514019012451172
2016-06-28,16.80463981628418
2016-06-29,17.66440200805664
2016-06-30,17.56147003173828
