Date,ARGX.BR
2016-05-24,11.100000381469727
2016-05-25,11.100000381469727
2016-05-26,11.489999771118164
2016-05-27,11.399999618530273
2016-05-30,11.420000076293945
2016-05-31,11.399999618530273
2016-06-01,11.449999809265137
2016-06-02,11.460000038146973
2016-06-03,11.5
2016-06-06,11.4399995803833
2016-06-07,11.430000305175781
2016-06-08,11.449999809265137
2016-06-09,11.399999618530273
2016-06-10,11.420000076293945
2016-06-13,11.270000457763672
2016-06-14,11.220000267028809
2016-06-15,11.390000343322754
2016-06-16,11.100000381469727
2016-06-17,11.359999656677246
2016-06-20,11.399999618530273
2016-06-21,11.390000343322754
2016-06-22,11.359999656677246
2016-06-23,11.390000343322754
2016-06-24,11.130000114440918
2016-06-27,11.109999656677246
2016-06-28,11.109999656677246
2016-06-29,11.199999809265137
