Date,MSCI
2021-06-15,474.8924560546875
2021-06-16,475.75592041015625
2021-06-17,485.00439453125
2021-06-18,482.47149658203125
2021-06-21,494.6460876464844
2021-06-22,500.9779968261719
2021-06-23,502.5800476074219
2021-06-24,511.4256286621094
2021-06-25,510.1497802734375
2021-06-28,512.759033203125
2021-06-29,520.1463012695312
2021-06-30,511.4256286621094
2021-07-01,512.337158203125
2021-07-02,519.8968505859375
2021-07-06,527.6776733398438
2021-07-07,533.1939697265625
2021-07-08,531.0545043945312
2021-07-09,537.47265625
2021-07-12,537.2042236328125
2021-07-13,534.9208984375
2021-07-14,532.6372680664062
2021-07-15,537.1082153320312
2021-07-16,541.8860473632812
2021-07-19,534.2205200195312
2021-07-20,540.6771240234375
2021-07-21,541.9146728515625
2021-07-22,548.908447265625
2021-07-23,555.4322509765625
2021-07-26,552.5062255859375
2021-07-27,560.4785766601562
2021-07-28,567.7988891601562
2021-07-29,570.60009765625
2021-07-30,571.7513427734375
2021-08-02,586.1036376953125
2021-08-03,593.9225463867188
2021-08-04,598.86328125
2021-08-05,601.8951416015625
2021-08-06,603.3533325195312
2021-08-09,602.1829223632812
2021-08-10,599.6884155273438
2021-08-11,599.5541381835938
2021-08-12,600.7650756835938
2021-08-13,605.435302734375
2021-08-16,605.6177978515625
2021-08-17,604.9163818359375
2021-08-18,586.3984375
2021-08-19,586.1964721679688
2021-08-20,594.7108154296875
2021-08-23,596.9498291015625
2021-08-24,594.2400512695312
2021-08-25,603.40771484375
2021-08-26,599.563720703125
2021-08-27,605.0221557617188
2021-08-30,613.517333984375
2021-08-31,609.8173217773438
2021-09-01,623.87646484375
2021-09-02,624.0783081054688
2021-09-03,625.3563232421875
2021-09-07,630.2285766601562
2021-09-08,633.4574584960938
2021-09-09,627.384033203125
2021-09-10,625.4718017578125
2021-09-13,618.149169921875
2021-09-14,627.7779541015625
2021-09-15,622.0986328125
2021-09-16,626.7017822265625
2021-09-17,616.6210327148438
2021-09-20,609.8270874023438
2021-09-21,615.6986083984375
2021-09-22,619.9749145507812
2021-09-23,628.075927734375
2021-09-24,635.5619506835938
2021-09-27,613.75732421875
2021-09-28,574.4725952148438
2021-09-29,586.8692626953125
2021-09-30,584.6012573242188
2021-10-01,586.8692626953125
