Date,SSE.L
2015-12-03,1439.00830078125
2015-12-04,1434.0357666015625
2015-12-07,1439.00830078125
2015-12-08,1417.129638671875
2015-12-09,1434.0357666015625
2015-12-10,1441.99169921875
2015-12-11,1427.074462890625
2015-12-14,1399.2291259765625
2015-12-15,1441.99169921875
2015-12-16,1456.908935546875
2015-12-17,1474.809814453125
2015-12-18,1476.79833984375
2015-12-21,1472.8204345703125
2015-12-22,1480.7764892578125
2015-12-23,1507.627197265625
2015-12-24,1524.5333251953125
2015-12-29,1549.3955078125
2015-12-30,1535.472900390625
2015-12-31,1519.5609130859375
2016-01-04,1496.6878662109375
2016-01-05,1511.605224609375
2016-01-06,1511.605224609375
2016-01-07,1478.787109375
2016-01-08,1469.8370361328125
2016-01-11,1466.8536376953125
2016-01-12,1462.8758544921875
2016-01-13,1474.809814453125
2016-01-14,1451.9365234375
2016-01-15,1416.135498046875
2016-01-18,1405.196044921875
2016-01-19,1415.1409912109375
2016-01-20,1377.350830078125
2016-01-21,1337.8314208984375
2016-01-22,1377.6182861328125
2016-01-25,1377.6182861328125
2016-01-26,1399.501220703125
2016-01-27,1424.367919921875
2016-01-28,1416.4102783203125
2016-01-29,1442.2718505859375
2016-02-01,1424.367919921875
2016-02-02,1402.4849853515625
2016-02-03,1396.5172119140625
2016-02-04,1401.4903564453125
2016-02-05,1384.5810546875
2016-02-08,1354.740966796875
2016-02-09,1339.82080078125
2016-02-10,1342.8046875
2016-02-11,1313.9593505859375
2016-02-12,1338.825927734375
2016-02-15,1359.7142333984375
2016-02-16,1350.762451171875
2016-02-17,1368.666259765625
2016-02-18,1382.5914306640625
2016-02-19,1386.5703125
2016-02-22,1412.431640625
2016-02-23,1375.628662109375
2016-02-24,1354.740966796875
2016-02-25,1373.6396484375
2016-02-26,1381.5970458984375
2016-02-29,1377.6182861328125
2016-03-01,1387.565185546875
2016-03-02,1383.5863037109375
2016-03-03,1422.378173828125
2016-03-04,1425.3623046875
2016-03-07,1422.378173828125
2016-03-08,1427.3515625
2016-03-09,1460.1759033203125
2016-03-10,1437.2984619140625
2016-03-11,1454.2081298828125
2016-03-14,1462.16552734375
2016-03-15,1456.1971435546875
2016-03-16,1453.21337890625
2016-03-17,1466.1439208984375
2016-03-18,1462.16552734375
2016-03-21,1460.1759033203125
2016-03-22,1450.2291259765625
2016-03-23,1452.2186279296875
2016-03-24,1452.2186279296875
2016-03-29,1471.117431640625
2016-03-30,1499.96240234375
2016-03-31,1484.048095703125
2016-04-01,1477.0853271484375
2016-04-04,1483.0533447265625
2016-04-05,1478.0799560546875
2016-04-06,1491.0106201171875
2016-04-07,1491.0106201171875
2016-04-08,1497.97314453125
2016-04-11,1496.9786376953125
2016-04-12,1512.8934326171875
2016-04-13,1510.9041748046875
2016-04-14,1523.8349609375
2016-04-15,1517.86669921875
2016-04-18,1515.8775634765625
2016-04-19,1522.8402099609375
2016-04-20,1515.8775634765625
2016-04-21,1490.016357421875
2016-04-22,1474.1014404296875
2016-04-25,1480.0692138671875
2016-04-26,1488.0267333984375
2016-04-27,1527.8134765625
2016-04-28,1514.8829345703125
2016-04-29,1501.9522705078125
2016-05-03,1494.9896240234375
2016-05-04,1478.0799560546875
2016-05-05,1468.133544921875
2016-05-06,1492.0054931640625
2016-05-09,1498.96826171875
2016-05-10,1519.85595703125
2016-05-11,1505.9306640625
2016-05-12,1523.8349609375
2016-05-13,1529.802978515625
2016-05-16,1512.8934326171875
2016-05-17,1538.7547607421875
2016-05-18,1516.8719482421875
2016-05-19,1488.0267333984375
2016-05-20,1526.8189697265625
2016-05-23,1511.898681640625
2016-05-24,1521.8455810546875
2016-05-25,1531.79248046875
2016-05-26,1538.7547607421875
2016-05-27,1535.7708740234375
2016-05-31,1523.8349609375
2016-06-01,1512.8934326171875
2016-06-02,1512.8934326171875
2016-06-03,1531.79248046875
2016-06-06,1541.739013671875
2016-06-07,1520.8507080078125
2016-06-08,1533.7816162109375
2016-06-09,1538.7547607421875
2016-06-10,1522.8402099609375
2016-06-13,1500.957275390625
2016-06-14,1452.2186279296875
2016-06-15,1455.20263671875
2016-06-16,1450.2291259765625
