Date,TXT
2016-04-28,38.790061950683594
2016-04-29,38.178104400634766
2016-05-02,38.50381851196289
2016-05-03,38.168243408203125
2016-05-04,37.556278228759766
2016-05-05,37.69445037841797
2016-05-06,37.73394012451172
2016-05-09,37.556278228759766
2016-05-10,37.82277297973633
2016-05-11,37.65497589111328
2016-05-12,37.36874008178711
2016-05-13,36.865360260009766
2016-05-16,37.556278228759766
2016-05-17,37.77341842651367
2016-05-18,37.69445037841797
2016-05-19,37.043025970458984
2016-05-20,37.4279670715332
2016-05-23,37.171348571777344
2016-05-24,37.783287048339844
2016-05-25,37.96095657348633
2016-05-26,37.753692626953125
2016-05-27,37.743812561035156
2016-05-31,37.566158294677734
2016-06-01,37.69445037841797
2016-06-02,38.01031494140625
2016-06-03,39.44150161743164
