Date,HDFCLIFE.NS
2018-08-17,452.32330322265625
2018-08-20,453.450927734375
2018-08-21,453.3038635253906
2018-08-23,458.1084899902344
2018-08-24,453.1567687988281
2018-08-27,451.83306884765625
2018-08-28,452.4704284667969
2018-08-29,457.1769714355469
2018-08-30,457.5691833496094
2018-08-31,452.7645568847656
2018-09-03,451.1956787109375
2018-09-04,444.0867614746094
2018-09-05,446.5381164550781
2018-09-06,444.96917724609375
2018-09-07,442.56695556640625
2018-09-10,441.34124755859375
2018-09-11,437.27203369140625
2018-09-12,428.1039733886719
2018-09-14,417.26898193359375
2018-09-17,404.9141845703125
2018-09-18,402.658935546875
2018-09-19,392.3142395019531
2018-09-21,380.69482421875
2018-09-24,361.9175109863281
2018-09-25,382.4107971191406
2018-09-26,395.7461242675781
2018-09-27,396.1873474121094
