Date,WTW
2016-04-28,108.90159606933594
2016-04-29,109.55948638916016
2016-05-02,110.48929595947266
2016-05-03,110.76123046875
2016-05-04,111.01559448242188
2016-05-05,111.98049926757812
2016-05-06,106.62969970703125
2016-05-09,108.27881622314453
2016-05-10,110.09455871582031
2016-05-11,108.95423889160156
2016-05-12,108.67354583740234
2016-05-13,107.86654663085938
2016-05-16,108.69107055664062
2016-05-17,108.25248718261719
2016-05-18,109.88402557373047
2016-05-19,109.75247192382812
2016-05-20,110.1471939086914
2016-05-23,110.48053741455078
2016-05-24,111.0682373046875
2016-05-25,110.9278793334961
2016-05-26,111.05945587158203
2016-05-27,112.19978332519531
2016-05-31,112.2962875366211
2016-06-01,112.34012603759766
2016-06-02,112.9366226196289
2016-06-03,111.82259368896484
2016-06-06,111.9980239868164
