Date,REDINGTON.NS
2016-05-30,42.164302825927734
2016-05-31,41.76203155517578
2016-06-01,41.560909271240234
2016-06-02,41.25006866455078
2016-06-03,40.7746696472168
2016-06-06,38.23311233520508
2016-06-07,37.73942565917969
2016-06-08,37.940555572509766
2016-06-09,37.88570022583008
2016-06-10,37.77599334716797
2016-06-13,38.068546295166016
2016-06-14,38.159969329833984
2016-06-15,37.72114944458008
2016-06-16,37.81256866455078
2016-06-17,38.30625534057617
2016-06-20,37.5200080871582
2016-06-21,38.013694763183594
2016-06-22,37.64800262451172
2016-06-23,37.41029739379883
2016-06-24,36.88004684448242
2016-06-27,37.190887451171875
2016-06-28,37.61143112182617
2016-06-29,37.62971115112305
2016-06-30,37.88570022583008
2016-07-01,37.922271728515625
2016-07-04,37.97712326049805
