Date,IVZ
2016-04-28,20.549880981445312
2016-04-29,20.236644744873047
2016-05-02,20.269275665283203
2016-05-03,19.662372589111328
2016-05-04,19.394811630249023
2016-05-05,19.231670379638672
2016-05-06,19.35565757751465
2016-05-09,19.2773494720459
2016-05-10,19.57101058959961
2016-05-11,19.13624382019043
2016-05-12,19.142833709716797
2016-05-13,18.69489288330078
2016-05-16,18.741008758544922
2016-05-17,18.714658737182617
2016-05-18,19.096717834472656
2016-05-19,18.96497344970703
2016-05-20,19.459026336669922
2016-05-23,19.676408767700195
2016-05-24,20.242921829223633
2016-05-25,20.664505004882812
2016-05-26,20.486652374267578
2016-05-27,20.717206954956055
2016-05-31,20.684267044067383
2016-06-01,20.624984741210938
2016-06-02,20.308795928955078
2016-06-03,20.032127380371094
