Date,COP
2016-04-28,35.96898651123047
2016-04-29,36.05953598022461
2016-05-02,35.35026931762695
2016-05-03,34.014739990234375
2016-05-04,32.75464630126953
2016-05-05,32.603729248046875
2016-05-06,32.26420211791992
2016-05-09,31.42664337158203
2016-05-10,32.34720230102539
2016-05-11,32.958370208740234
2016-05-12,32.9961051940918
2016-05-13,32.46038055419922
2016-05-16,33.260196685791016
2016-05-17,33.0338249206543
2016-05-18,32.88963317871094
2016-05-19,32.90480422973633
2016-05-20,33.071773529052734
2016-05-23,33.0793571472168
2016-05-24,32.980716705322266
2016-05-25,34.07349395751953
2016-05-26,33.94447708129883
2016-05-27,33.64091873168945
2016-05-31,33.23112869262695
2016-06-01,33.43603515625
2016-06-02,33.67886734008789
2016-06-03,33.5270881652832
2016-06-06,34.54398727416992
