Date,PNCINFRA.NS
2016-02-18,100.5687255859375
2016-02-19,98.14704132080078
2016-02-22,100.11954498291016
2016-02-23,96.68230438232422
2016-02-24,96.41865539550781
2016-02-25,95.70582580566406
2016-02-26,92.1318588256836
2016-02-29,93.13764190673828
2016-03-01,93.89930725097656
2016-03-02,94.52426147460938
2016-03-03,93.9188461303711
2016-03-04,98.37162780761719
2016-03-08,95.891357421875
2016-03-09,95.59840393066406
2016-03-10,95.60816192626953
2016-03-11,95.64722442626953
2016-03-14,95.5300521850586
2016-03-15,95.32498931884766
2016-03-16,95.549560546875
2016-03-17,95.61793518066406
2016-03-18,95.53980255126953
2016-03-21,95.60816192626953
2016-03-22,97.30725860595703
2016-03-23,99.13328552246094
2016-03-28,95.549560546875
2016-03-29,96.87759399414062
2016-03-30,98.22515106201172
2016-03-31,103.23455810546875
2016-04-01,102.92208099365234
2016-04-04,103.37127685546875
2016-04-05,103.24432373046875
2016-04-06,101.57451629638672
2016-04-07,102.92208099365234
2016-04-08,102.84395599365234
2016-04-11,103.10761260986328
2016-04-12,103.02948760986328
2016-04-13,104.36727142333984
2016-04-18,103.78138732910156
2016-04-20,104.17198181152344
2016-04-21,103.44937896728516
2016-04-22,102.50218963623047
2016-04-25,101.42804718017578
2016-04-26,103.13690185546875
2016-04-27,103.50796508789062
2016-04-28,101.61357879638672
2016-04-29,102.0041732788086
2016-05-02,103.5958480834961
2016-05-03,104.53327941894531
2016-05-04,104.13292694091797
2016-05-05,104.79693603515625
2016-05-06,105.78319549560547
2016-05-09,103.6837387084961
2016-05-10,106.08589935302734
2016-05-11,103.92787170410156
2016-05-12,104.37704467773438
2016-05-13,106.29096221923828
2016-05-16,106.1738052368164
2016-05-17,108.39042663574219
2016-05-18,109.3180923461914
2016-05-19,110.87071228027344
2016-05-20,110.06021881103516
2016-05-23,110.56800079345703
2016-05-24,112.23778533935547
2016-05-25,112.01319885253906
2016-05-26,113.23381042480469
2016-05-27,110.75353240966797
