Date,MMK.VI
2016-05-25,84.92123413085938
2016-05-27,84.84036254882812
2016-05-30,83.70807647705078
2016-05-31,83.182373046875
2016-06-01,83.78894805908203
2016-06-02,83.06105041503906
2016-06-03,82.49490356445312
2016-06-06,82.737548828125
2016-06-07,84.35508728027344
2016-06-08,85.16387176513672
2016-06-09,82.1309585571289
2016-06-10,82.81842803955078
2016-06-13,80.76414489746094
2016-06-14,81.32219696044922
2016-06-15,84.15290069580078
2016-06-16,81.28174591064453
2016-06-17,80.87736511230469
2016-06-20,82.37358856201172
2016-06-21,81.28174591064453
2016-06-22,82.25228881835938
2016-06-23,80.99868774414062
2016-06-24,79.66419219970703
2016-06-27,75.49093627929688
2016-06-28,78.02239990234375
2016-06-29,80.06859588623047
2016-06-30,79.16277313232422
2016-07-01,79.01718139648438
