Date,MAXHEALTH.NS
2021-05-24,233.48707580566406
2021-05-25,232.34228515625
2021-05-26,230.25181579589844
2021-05-27,230.55044555664062
2021-05-28,223.5323944091797
2021-05-31,221.39212036132812
2021-06-01,229.30612182617188
2021-06-02,228.4599609375
2021-06-03,243.79014587402344
2021-06-04,244.73587036132812
2021-06-07,243.04356384277344
2021-06-08,243.9892578125
2021-06-09,245.5322265625
2021-06-10,255.13851928710938
2021-06-11,254.1928253173828
2021-06-14,253.09779357910156
2021-06-15,250.45980834960938
2021-06-16,252.2516326904297
2021-06-17,248.02090454101562
2021-06-18,249.3150177001953
2021-06-21,245.28335571289062
2021-06-22,248.4688720703125
2021-06-23,259.0705871582031
2021-06-24,255.7357940673828
2021-06-25,255.18829345703125
2021-06-28,254.29237365722656
2021-06-29,252.45074462890625
