Date,JUBLPHARMA.NS
2016-05-31,248.53976440429688
2016-06-01,248.81390380859375
2016-06-02,245.14727783203125
2016-06-03,241.8919219970703
2016-06-06,252.27488708496094
2016-06-07,252.5147705078125
2016-06-08,255.6330108642578
2016-06-09,249.4992218017578
2016-06-10,248.47120666503906
2016-06-13,239.45895385742188
2016-06-14,239.69883728027344
2016-06-15,238.6022491455078
2016-06-16,236.71759033203125
2016-06-17,241.10377502441406
2016-06-20,239.52749633789062
2016-06-21,233.59927368164062
2016-06-22,229.3501434326172
2016-06-23,221.09176635742188
2016-06-24,210.880126953125
2016-06-27,212.31935119628906
2016-06-28,216.7740936279297
2016-06-29,218.28182983398438
2016-06-30,215.1977996826172
2016-07-01,217.4936981201172
2016-07-04,217.01393127441406
2016-07-05,217.08248901367188
2016-07-07,217.9734649658203
