Date,ZTS
2016-04-28,43.966949462890625
2016-04-29,43.81787109375
2016-05-02,44.74956130981445
2016-05-03,44.86137771606445
2016-05-04,43.83651351928711
2016-05-05,44.94524002075195
2016-05-06,44.106712341308594
2016-05-09,44.25579071044922
2016-05-10,43.379974365234375
2016-05-11,42.85822296142578
2016-05-12,43.09114456176758
2016-05-13,43.22158432006836
2016-05-16,43.57563400268555
2016-05-17,43.3240852355957
2016-05-18,43.752662658691406
2016-05-19,43.258853912353516
2016-05-20,43.8458251953125
2016-05-23,43.23090362548828
2016-05-24,44.06011962890625
2016-05-25,43.7899284362793
2016-05-26,44.09740447998047
2016-05-27,43.957637786865234
2016-05-31,44.181236267089844
2016-06-01,44.581871032714844
2016-06-02,44.84273910522461
2016-06-03,44.656410217285156
