Date,DTE
2016-04-28,55.20822525024414
2016-04-29,55.90420150756836
2016-05-02,56.512386322021484
2016-05-03,56.242774963378906
2016-05-04,57.189571380615234
2016-05-05,57.120601654052734
2016-05-06,56.455955505371094
2016-05-09,56.644081115722656
2016-05-10,56.6064453125
2016-05-11,56.863521575927734
2016-05-12,57.26481628417969
2016-05-13,56.976383209228516
2016-05-16,56.982662200927734
2016-05-17,55.879112243652344
2016-05-18,55.00129318237305
2016-05-19,55.58442306518555
2016-05-20,55.60948944091797
2016-05-23,55.02010726928711
2016-05-24,55.94182586669922
2016-05-25,55.60948944091797
2016-05-26,56.25532150268555
2016-05-27,56.56255340576172
2016-05-31,56.85725402832031
2016-06-01,57.13312530517578
2016-06-02,57.12687683105469
2016-06-03,58.205322265625
2016-06-06,58.0548210144043
