Date,EMAE4.SA
2016-05-16,3.0773513317108154
2016-05-17,3.0773513317108154
2016-05-18,3.0773513317108154
2016-05-19,3.0773513317108154
2016-05-20,3.0773513317108154
2016-05-23,3.0326597690582275
2016-05-24,3.0326597690582275
2016-05-25,3.0326597690582275
2016-05-27,3.0326597690582275
2016-05-30,3.0326597690582275
2016-05-31,3.0326597690582275
2016-06-01,3.0326597690582275
2016-06-02,3.0326597690582275
2016-06-03,3.0326597690582275
2016-06-06,3.000736713409424
2016-06-07,3.000736713409424
2016-06-08,3.000736713409424
2016-06-09,3.000736713409424
2016-06-10,3.000736713409424
2016-06-13,3.000736713409424
2016-06-14,2.8538928031921387
2016-06-15,2.8538928031921387
2016-06-16,2.8538928031921387
2016-06-17,2.8538928031921387
2016-06-20,2.8538928031921387
