Date,CME
2016-04-28,64.81681823730469
2016-04-29,64.52197265625
2016-05-02,65.722412109375
2016-05-03,65.1678237915039
2016-05-04,64.80980682373047
2016-05-05,65.238037109375
2016-05-06,65.20294952392578
2016-05-09,65.98920440673828
2016-05-10,66.50869750976562
2016-05-11,65.7645492553711
2016-05-12,66.76139831542969
2016-05-13,66.2208480834961
2016-05-16,66.71929168701172
2016-05-17,66.29808044433594
2016-05-18,67.94781494140625
2016-05-19,67.23877716064453
2016-05-20,67.70909881591797
2016-05-23,67.83544158935547
2016-05-24,68.76213836669922
2016-05-25,68.6006851196289
2016-05-26,68.4251708984375
2016-05-27,69.2254867553711
2016-05-31,68.72000885009766
2016-06-01,68.80425262451172
2016-06-02,68.47428131103516
2016-06-03,67.96186828613281
2016-06-06,67.9407958984375
