Date,BGN.MI
2016-05-17,14.341920852661133
2016-05-18,14.366628646850586
2016-05-19,14.391332626342773
2016-05-20,14.39751148223877
2016-05-23,14.553791046142578
2016-05-24,14.814262390136719
2016-05-25,14.964035034179688
2016-05-26,15.511019706726074
2016-05-27,15.595674514770508
2016-05-30,15.374273300170898
2016-05-31,15.328692436218262
2016-06-01,15.113802909851074
2016-06-02,15.009613990783691
2016-06-03,15.055198669433594
2016-06-06,15.211482048034668
2016-06-07,15.354738235473633
2016-06-08,15.302643775939941
2016-06-09,15.257062911987305
2016-06-10,14.853334426879883
2016-06-13,14.097968101501465
2016-06-14,13.20585823059082
2016-06-15,12.964920997619629
2016-06-16,12.94538688659668
2016-06-17,13.19934368133545
2016-06-20,13.6616792678833
2016-06-21,13.83749771118164
