Date,EMBONOR-B.SN
2016-05-23,797.869384765625
2016-05-24,797.869384765625
2016-05-25,798.550048828125
2016-05-26,796.5076904296875
2016-05-27,785.0707397460938
2016-05-30,786.3642578125
2016-05-31,790.380859375
2016-06-01,816.9310302734375
2016-06-02,842.2559204101562
2016-06-03,850.9016723632812
2016-06-06,824.0111083984375
2016-06-07,847.157470703125
2016-06-08,864.5852661132812
2016-06-09,863.8364868164062
2016-06-10,855.6671752929688
2016-06-13,849.5403442382812
2016-06-14,837.2182006835938
2016-06-15,816.9310302734375
2016-06-16,830.410400390625
2016-06-17,816.9989624023438
2016-06-20,817.61181640625
2016-06-21,817.61181640625
2016-06-22,816.9310302734375
2016-06-23,820.3348999023438
2016-06-24,806.7874145507812
2016-06-28,803.9963989257812
2016-06-29,830.5465698242188
