Date,TKO
2016-04-28,15.018576622009277
2016-04-29,14.64883804321289
2016-05-02,15.502765655517578
2016-05-03,14.868926048278809
2016-05-04,14.666447639465332
2016-05-05,14.789691925048828
2016-05-06,15.080205917358398
2016-05-09,15.018576622009277
2016-05-10,15.344305992126465
2016-05-11,15.916533470153809
2016-05-12,15.661229133605957
2016-05-13,15.784476280212402
2016-05-16,15.766864776611328
2016-05-17,15.027388572692871
2016-05-18,15.1154203414917
2016-05-19,14.930548667907715
2016-05-20,14.992171287536621
2016-05-23,14.64883804321289
2016-05-24,15.071404457092285
2016-05-25,15.2298583984375
2016-05-26,15.344305992126465
2016-05-27,15.41473388671875
2016-05-31,15.467552185058594
2016-06-01,15.599604606628418
2016-06-02,15.661229133605957
2016-06-03,15.564395904541016
