Date,GIVN.SW
2016-05-11,1585.78076171875
2016-05-12,1572.627685546875
2016-05-13,1602.2222900390625
2016-05-17,1599.7562255859375
2016-05-18,1595.6456298828125
2016-05-19,1567.6953125
2016-05-20,1587.4251708984375
2016-05-23,1598.1119384765625
2016-05-24,1605.510498046875
2016-05-25,1587.4251708984375
2016-05-26,1584.1365966796875
2016-05-27,1586.6029052734375
2016-05-30,1579.2042236328125
2016-05-31,1566.051025390625
2016-06-01,1555.364013671875
2016-06-02,1553.719970703125
2016-06-03,1549.609619140625
2016-06-06,1549.609619140625
2016-06-07,1552.07568359375
2016-06-08,1530.701904296875
2016-06-09,1526.5914306640625
2016-06-10,1520.8370361328125
2016-06-13,1505.2176513671875
2016-06-14,1474.8009033203125
2016-06-15,1510.97216796875
2016-06-16,1489.59814453125
