Date,SAB.MC
2015-12-18,1.0875797271728516
2015-12-21,1.0367400646209717
2015-12-22,1.0425318479537964
2015-12-23,1.068273663520813
2015-12-24,1.0772829055786133
2015-12-28,1.0663429498672485
2015-12-29,1.0618382692337036
2015-12-30,1.0605510473251343
2015-12-31,1.0521854162216187
2016-01-04,1.0515415668487549
2016-01-05,1.0483237504959106
2016-01-06,1.038027048110962
2016-01-07,1.0135728120803833
2016-01-08,0.980108916759491
2016-01-11,0.9897618889808655
2016-01-12,1.0386711359024048
2016-01-13,1.0483237504959106
2016-01-14,1.0438191890716553
2016-01-15,1.0103551149368286
2016-01-18,0.9646642804145813
2016-01-19,0.931199848651886
2016-01-20,0.9241213202476501
2016-01-21,0.9421402812004089
2016-01-22,0.9627329111099243
2016-01-25,0.9112501740455627
2016-01-26,0.9569409489631653
2016-01-27,0.9517931342124939
2016-01-28,0.9562979936599731
2016-01-29,1.070847511291504
2016-02-01,1.0669864416122437
2016-02-02,1.028374433517456
2016-02-03,0.9813961982727051
2016-02-04,1.019364833831787
2016-02-05,1.0373839139938354
2016-02-08,0.9717428088188171
2016-02-09,0.9163981080055237
2016-02-10,0.9479315876960754
2016-02-11,0.8951614499092102
2016-02-12,0.909963071346283
2016-02-15,0.9524364471435547
2016-02-16,0.9344173073768616
2016-02-17,0.9575850367546082
2016-02-18,0.9228341579437256
2016-02-19,0.9054580926895142
2016-02-22,0.9357044100761414
2016-02-23,0.918329119682312
2016-02-24,0.8958054184913635
2016-02-25,0.9015973210334778
2016-02-26,0.9292693138122559
2016-02-29,0.9440709352493286
2016-03-01,0.9498627781867981
2016-03-02,1.0135728120803833
2016-03-03,1.0161471366882324
2016-03-04,1.0007015466690063
2016-03-07,0.9781779050827026
2016-03-08,0.9788216352462769
2016-03-09,0.9736729860305786
2016-03-10,1.016790509223938
2016-03-11,1.1120340824127197
2016-03-14,1.1197563409805298
2016-03-15,1.100450873374939
2016-03-16,1.0959460735321045
2016-03-17,1.082431674003601
2016-03-18,1.0953019857406616
2016-03-21,1.091441035270691
2016-03-22,1.0940147638320923
2016-03-23,1.0843619108200073
2016-03-24,1.0669864416122437
2016-03-29,1.0508981943130493
2016-03-30,1.045749545097351
2016-03-31,1.0180774927139282
2016-04-01,1.004563331604004
2016-04-04,0.9994153380393982
2016-04-05,0.9768369197845459
2016-04-06,0.9535943865776062
2016-04-07,0.9274147152900696
2016-04-08,0.9469034671783447
2016-04-11,0.9650484919548035
2016-04-12,0.9650484919548035
2016-04-13,1.0564463138580322
2016-04-14,1.069214940071106
2016-04-15,1.0745912790298462
2016-04-18,1.0940799713134766
2016-04-19,1.086016058921814
2016-04-20,1.109537124633789
2016-04-21,1.1397793292999268
2016-04-22,1.1686769723892212
2016-04-25,1.13104248046875
2016-04-26,1.1653165817260742
2016-04-27,1.1364190578460693
2016-04-28,1.1471714973449707
2016-04-29,1.121633768081665
2016-05-02,1.1068494319915771
