Date,RADICO.NS
2016-05-30,82.35282897949219
2016-05-31,82.49755859375
2016-06-01,83.89664459228516
2016-06-02,86.88777923583984
2016-06-03,85.68167114257812
2016-06-06,83.99312591552734
2016-06-07,89.87891387939453
2016-06-08,89.73419189453125
2016-06-09,87.85265350341797
2016-06-10,89.44470977783203
2016-06-13,87.99739837646484
2016-06-14,88.72105407714844
2016-06-15,87.90090942382812
2016-06-16,86.45359802246094
2016-06-17,85.39219665527344
2016-06-20,83.65540313720703
2016-06-21,85.00625610351562
2016-06-22,89.05876922607422
2016-06-23,89.39647674560547
2016-06-24,86.9842758178711
2016-06-27,88.38335418701172
2016-06-28,88.33509826660156
2016-06-29,89.68592834472656
2016-06-30,89.73419189453125
2016-07-01,89.49295806884766
2016-07-04,91.43950653076172
2016-07-05,95.5759506225586
