Date,ATUL.NS
2016-05-20,1807.7044677734375
2016-05-23,1785.427490234375
2016-05-24,1807.848876953125
2016-05-25,1805.6307373046875
2016-05-26,1796.4212646484375
2016-05-27,1816.86572265625
2016-05-30,1822.6036376953125
2016-05-31,1812.09228515625
2016-06-01,1807.2703857421875
2016-06-02,1805.727294921875
2016-06-03,1772.8424072265625
2016-06-06,1817.733642578125
2016-06-07,1824.2913818359375
2016-06-08,1804.955810546875
2016-06-09,1823.760986328125
2016-06-10,1819.71044921875
2016-06-13,1793.5765380859375
2016-06-14,1801.3876953125
2016-06-15,1807.5113525390625
2016-06-16,1801.2911376953125
2016-06-17,1829.4508056640625
2016-06-20,1824.62890625
2016-06-21,1817.203125
2016-06-22,1807.848876953125
2016-06-23,1798.10888671875
2016-06-24,1763.77734375
