Date,SCHW
2016-04-28,25.769498825073242
2016-04-29,25.26264762878418
2016-05-02,25.600555419921875
2016-05-03,24.898067474365234
2016-05-04,24.489030838012695
2016-05-05,24.489030838012695
2016-05-06,24.28451156616211
2016-05-09,24.248937606811523
2016-05-10,24.906957626342773
2016-05-11,24.77324104309082
2016-05-12,24.90695571899414
2016-05-13,24.54146385192871
2016-05-16,24.68409538269043
2016-05-17,24.889131546020508
2016-05-18,26.110414505004883
2016-05-19,25.81623077392578
2016-05-20,26.244117736816406
2016-05-23,26.101490020751953
2016-05-24,26.9394474029541
2016-05-25,27.313861846923828
2016-05-26,26.877050399780273
2016-05-27,27.304946899414062
2016-05-31,27.260372161865234
2016-06-01,27.465404510498047
2016-06-02,27.492149353027344
2016-06-03,26.048006057739258
2016-06-06,26.565048217773438
