Date,BR
2016-04-28,51.002967834472656
2016-04-29,51.096893310546875
2016-05-02,52.07032775878906
2016-05-03,51.438453674316406
2016-05-04,50.8748779296875
2016-05-05,50.48208999633789
2016-05-06,51.438453674316406
2016-05-09,51.532371520996094
2016-05-10,52.411895751953125
2016-05-11,52.25819778442383
2016-05-12,52.283817291259766
2016-05-13,52.72783279418945
2016-05-16,53.265785217285156
2016-05-17,52.975460052490234
2016-05-18,53.94890213012695
2016-05-19,53.49633026123047
2016-05-20,54.469764709472656
2016-05-23,54.28190612792969
2016-05-24,55.81038284301758
2016-05-25,55.35781478881836
2016-05-26,55.0589485168457
2016-05-27,55.152870178222656
2016-05-31,54.81132125854492
2016-06-01,54.79425048828125
2016-06-02,54.819854736328125
2016-06-03,54.93939971923828
2016-06-06,55.0333366394043
