Date,GSPL.NS
2016-05-30,123.96107482910156
2016-05-31,121.12713623046875
2016-06-01,122.40697479248047
2016-06-02,123.36682891845703
2016-06-03,121.17285919189453
2016-06-06,123.41255950927734
2016-06-07,123.73251342773438
2016-06-08,125.4237289428711
2016-06-09,123.50398254394531
2016-06-10,123.1383056640625
2016-06-13,123.04689025878906
2016-06-14,122.45269775390625
2016-06-15,122.95547485351562
2016-06-16,121.584228515625
2016-06-17,121.44709777832031
2016-06-20,123.3211441040039
2016-06-21,122.31556701660156
2016-06-22,121.12713623046875
2016-06-23,122.49839782714844
2016-06-24,122.81835174560547
2016-06-27,122.31556701660156
2016-06-28,125.37801361083984
2016-06-29,126.24649810791016
2016-06-30,131.0001220703125
2016-07-01,126.29216766357422
2016-07-04,126.1550521850586
2016-07-05,123.41255950927734
