Date,CELLO.NS
2024-08-19,880.42431640625
2024-08-20,912.3436279296875
2024-08-21,913.4906616210938
2024-08-22,911.4957275390625
2024-08-23,909.5505981445312
2024-08-26,905.81005859375
2024-08-27,903.4161376953125
2024-08-28,886.1597900390625
2024-08-29,872.7935791015625
2024-08-30,900.9723510742188
2024-09-02,900.2242431640625
2024-09-03,904.563232421875
2024-09-04,895.93505859375
2024-09-05,904.8126220703125
2024-09-06,893.6907348632812
2024-09-09,887.9053955078125
2024-09-10,907.1068725585938
2024-09-11,902.1194458007812
2024-09-12,917.7798461914062
2024-09-13,913.690185546875
2024-09-16,905.4111328125
2024-09-17,884.6136474609375
2024-09-18,877.2822265625
2024-09-19,886.2096557617188
2024-09-20,873.4419555664062
2024-09-23,872.1951293945312
2024-09-24,884.513916015625
