Date,JIOFIN.NS
2024-06-14,357.0
2024-06-18,363.20001220703125
2024-06-19,358.29998779296875
2024-06-20,365.54998779296875
2024-06-21,360.8999938964844
2024-06-24,355.3500061035156
2024-06-25,359.04998779296875
2024-06-26,356.25
2024-06-27,353.6000061035156
2024-06-28,358.1499938964844
2024-07-01,352.79998779296875
2024-07-02,351.0
2024-07-03,351.29998779296875
2024-07-04,350.8500061035156
2024-07-05,352.75
2024-07-08,348.29998779296875
2024-07-09,349.8500061035156
2024-07-10,347.95001220703125
2024-07-11,348.04998779296875
2024-07-12,350.3500061035156
2024-07-15,355.3999938964844
2024-07-16,344.25
2024-07-18,337.0
2024-07-19,338.75
2024-07-22,340.95001220703125
2024-07-23,334.8999938964844
2024-07-24,334.70001220703125
2024-07-25,329.20001220703125
