Date,MTB
2016-04-28,91.71505737304688
2016-04-29,91.08379364013672
2016-05-02,91.56878662109375
2016-05-03,89.8290023803711
2016-05-04,87.85060119628906
2016-05-05,87.9275894165039
2016-05-06,88.28941345214844
2016-05-09,87.67354583740234
2016-05-10,89.13619232177734
2016-05-11,88.88985443115234
2016-05-12,88.61272430419922
2016-05-13,87.16547393798828
2016-05-16,87.79671478271484
2016-05-17,87.11927795410156
2016-05-18,89.86750030517578
2016-05-19,89.1592788696289
2016-05-20,89.59806060791016
2016-05-23,89.16698455810547
2016-05-24,90.68350219726562
2016-05-25,91.6072769165039
2016-05-26,91.19927978515625
2016-05-27,92.43829345703125
2016-05-31,92.53897094726562
2016-06-01,92.36084747314453
2016-06-02,92.98809814453125
2016-06-03,91.60195922851562
2016-06-06,92.91065979003906
