Date,JSWSTEEL.NS
2016-05-30,123.20146942138672
2016-05-31,124.74601745605469
2016-06-01,123.45738220214844
2016-06-02,123.86150360107422
2016-06-03,123.04879760742188
2016-06-06,122.97697448730469
2016-06-07,123.66845703125
2016-06-08,125.28034210205078
2016-06-09,127.19757843017578
2016-06-10,127.39962005615234
2016-06-13,125.7427978515625
2016-06-14,126.27264404296875
2016-06-15,125.73384094238281
2016-06-16,126.37141418457031
2016-06-17,125.27586364746094
2016-06-20,125.92244720458984
2016-06-21,125.78321838378906
2016-06-22,124.9391098022461
2016-06-23,125.84158325195312
2016-06-24,124.21172332763672
2016-06-27,124.4631576538086
2016-06-28,128.10008239746094
2016-06-29,129.72544860839844
2016-06-30,131.4990234375
2016-07-01,131.4047088623047
2016-07-04,133.01138305664062
2016-07-05,133.701904296875
