Date,GODREJAGRO.NS
2018-07-16,546.1536254882812
2018-07-17,547.14501953125
2018-07-18,544.8468627929688
2018-07-19,532.3657836914062
2018-07-20,536.7363891601562
2018-07-23,554.62451171875
2018-07-24,581.956298828125
2018-07-25,587.9038696289062
2018-07-26,594.8502197265625
2018-07-27,587.94921875
2018-07-30,577.8702392578125
2018-07-31,569.8341064453125
2018-08-01,572.92138671875
2018-08-02,578.7781982421875
2018-08-03,596.3938598632812
2018-08-06,596.757080078125
2018-08-07,586.1331787109375
2018-08-08,590.0830688476562
2018-08-09,581.0028076171875
2018-08-10,567.65478515625
2018-08-13,550.8563232421875
2018-08-14,549.5850219726562
2018-08-16,549.3580322265625
2018-08-17,548.313720703125
2018-08-20,545.952880859375
2018-08-21,540.550048828125
2018-08-23,540.595458984375
2018-08-24,543.4558715820312
