Date,BND
2016-04-28,63.755489349365234
2016-04-29,63.80165481567383
2016-05-02,63.689151763916016
2016-05-03,63.866336822509766
2016-05-04,63.889469146728516
2016-05-05,64.0050277709961
2016-05-06,63.97418975830078
2016-05-09,64.02042388916016
2016-05-10,64.02042388916016
2016-05-11,64.03582000732422
2016-05-12,64.04356384277344
2016-05-13,64.11286163330078
2016-05-16,63.97418975830078
2016-05-17,63.92798614501953
2016-05-18,63.62749099731445
2016-05-19,63.69687271118164
2016-05-20,63.69687271118164
2016-05-23,63.7122688293457
2016-05-24,63.681434631347656
2016-05-25,63.65827941894531
2016-05-26,63.76616668701172
2016-05-27,63.743064880371094
2016-05-31,63.79701614379883
2016-06-01,63.81941223144531
2016-06-02,63.942893981933594
2016-06-03,64.34441375732422
2016-06-06,64.2440185546875
