Date,CAP.PA
2021-01-05,116.14488983154297
2021-01-06,114.72290802001953
2021-01-07,113.34678649902344
2021-01-08,116.51185607910156
2021-01-11,113.117431640625
2021-01-12,113.80548858642578
2021-01-13,115.27334594726562
2021-01-14,114.40180206298828
2021-01-15,113.897216796875
2021-01-18,114.53942108154297
2021-01-19,115.04399871826172
2021-01-20,114.21831512451172
2021-01-21,114.03483581542969
2021-01-22,113.20917510986328
2021-01-25,111.19084167480469
2021-01-26,111.6495590209961
2021-01-27,109.63124084472656
2021-01-28,109.63124084472656
2021-01-29,109.63124084472656
2021-02-01,112.15413665771484
2021-02-02,114.44766998291016
2021-02-03,114.31006622314453
2021-02-04,116.14488983154297
2021-02-05,117.65863037109375
2021-02-08,120.59436798095703
2021-02-09,121.97049713134766
2021-02-10,122.19983673095703
2021-02-11,123.8511962890625
2021-02-12,124.12643432617188
2021-02-15,125.96126556396484
2021-02-16,125.82363891601562
2021-02-17,124.30989074707031
2021-02-18,126.51168823242188
2021-02-19,128.48414611816406
2021-02-22,125.77776336669922
2021-02-23,124.12643432617188
2021-02-24,124.86035919189453
2021-02-25,122.88789367675781
2021-02-26,122.15396881103516
2021-03-01,125.18144989013672
2021-03-02,125.77776336669922
2021-03-03,127.38325500488281
2021-03-04,126.4658432006836
2021-03-05,124.72272491455078
2021-03-08,127.97956085205078
2021-03-09,132.0161895751953
2021-03-10,131.64923095703125
2021-03-11,133.6216583251953
2021-03-12,132.79600524902344
2021-03-15,132.06207275390625
2021-03-16,132.56663513183594
2021-03-17,130.2731170654297
2021-03-18,130.77767944335938
2021-03-19,131.19053649902344
2021-03-22,131.4198760986328
2021-03-23,130.82354736328125
2021-03-24,130.3189697265625
2021-03-25,130.22723388671875
2021-03-26,133.71340942382812
2021-03-29,134.44735717773438
2021-03-30,133.0253448486328
2021-03-31,133.1171112060547
2021-04-01,135.77760314941406
2021-04-06,136.69503784179688
2021-04-07,136.64913940429688
2021-04-08,137.65829467773438
2021-04-09,138.5298614501953
2021-04-12,139.12615966796875
2021-04-13,140.82339477539062
2021-04-14,138.5298614501953
2021-04-15,138.80508422851562
2021-04-16,138.98855590820312
2021-04-19,140.685791015625
2021-04-20,137.61244201660156
2021-04-21,138.07113647460938
2021-04-22,138.20875549316406
2021-04-23,138.20875549316406
2021-04-26,138.34637451171875
2021-04-27,138.62159729003906
2021-04-28,139.2637939453125
2021-04-29,141.0986328125
2021-04-30,139.81422424316406
2021-05-03,139.9977264404297
2021-05-04,138.1170196533203
2021-05-05,139.40138244628906
2021-05-06,140.73165893554688
2021-05-07,142.291259765625
2021-05-10,141.87841796875
2021-05-11,138.75921630859375
2021-05-12,137.97938537597656
2021-05-13,139.2637939453125
2021-05-14,141.3279571533203
2021-05-17,140.96099853515625
2021-05-18,141.4197235107422
2021-05-19,138.94268798828125
2021-05-20,139.9977264404297
2021-05-21,139.2637939453125
2021-05-24,141.87841796875
2021-05-25,142.8875732421875
2021-05-26,142.5664825439453
2021-05-27,139.67662048339844
2021-05-28,140.8692626953125
2021-05-31,140.0435791015625
2021-06-01,139.9977264404297
2021-06-02,140.50881958007812
2021-06-03,138.09268188476562
2021-06-04,140.0906524658203
2021-06-07,139.81187438964844
2021-06-08,140.23004150390625
2021-06-09,139.6724853515625
2021-06-10,141.94923400878906
2021-06-11,146.2704315185547
2021-06-14,147.2926483154297
2021-06-15,147.15325927734375
2021-06-16,148.0825653076172
2021-06-17,149.33709716796875
2021-06-18,145.4805450439453
2021-06-21,145.57347106933594
2021-06-22,146.22396850585938
2021-06-23,146.22396850585938
2021-06-24,150.12698364257812
2021-06-25,150.35931396484375
2021-06-28,149.7552947998047
2021-06-29,150.545166015625
2021-06-30,150.545166015625
2021-07-01,152.4967041015625
2021-07-02,153.00779724121094
2021-07-05,153.19366455078125
2021-07-06,152.4037628173828
2021-07-07,154.63404846191406
2021-07-08,153.24012756347656
2021-07-09,155.2380828857422
2021-07-12,156.6320343017578
2021-07-13,156.81788635253906
2021-07-14,156.39971923828125
2021-07-15,154.91285705566406
2021-07-16,155.05224609375
2021-07-19,152.96133422851562
2021-07-20,154.95932006835938
2021-07-21,155.28456115722656
2021-07-22,158.53707885742188
2021-07-23,160.1168670654297
2021-07-26,160.3956756591797
2021-07-27,159.00173950195312
2021-07-28,164.99566650390625
2021-07-29,168.75927734375
2021-07-30,169.36331176757812
2021-08-02,172.0117950439453
2021-08-03,174.24209594726562
2021-08-04,176.98348999023438
2021-08-05,176.10069274902344
2021-08-06,176.19361877441406
2021-08-09,176.79763793945312
2021-08-10,176.472412109375
2021-08-11,176.10069274902344
2021-08-12,177.12289428710938
2021-08-13,177.07643127441406
2021-08-16,177.07643127441406
2021-08-17,176.8905792236328
2021-08-18,176.8905792236328
2021-08-19,176.24008178710938
2021-08-20,176.37948608398438
2021-08-23,177.1693572998047
2021-08-24,177.2158203125
2021-08-25,176.37948608398438
2021-08-26,177.2158203125
2021-08-27,177.49461364746094
2021-08-30,177.49461364746094
2021-08-31,176.70472717285156
2021-09-01,177.49461364746094
2021-09-02,177.91281127929688
2021-09-03,178.0057373046875
2021-09-06,178.70269775390625
2021-09-07,178.70269775390625
2021-09-08,176.14715576171875
2021-09-09,176.10069274902344
2021-09-10,176.19361877441406
2021-09-13,175.82188415527344
2021-09-14,178.23805236816406
2021-09-15,176.37948608398438
2021-09-16,180.28250122070312
2021-09-17,178.74917602539062
2021-09-20,175.5895538330078
2021-09-21,179.91078186035156
2021-09-22,179.53904724121094
2021-09-23,181.81581115722656
2021-09-24,178.9814910888672
2021-09-27,177.63400268554688
2021-09-28,167.458251953125
2021-09-29,168.24818420410156
2021-09-30,167.4117889404297
2021-10-01,166.01785278320312
2021-10-04,163.1370849609375
2021-10-05,164.34515380859375
2021-10-06,163.55523681640625
2021-10-07,166.57545471191406
2021-10-08,163.8340301513672
2021-10-11,162.76535034179688
2021-10-12,163.18356323242188
2021-10-13,169.78150939941406
2021-10-14,173.87039184570312
2021-10-15,174.52088928222656
2021-10-18,173.5915985107422
2021-10-19,176.10069274902344
2021-10-20,172.38352966308594
2021-10-21,171.26837158203125
2021-10-22,175.31077575683594
2021-10-25,174.28855895996094
2021-10-26,176.19361877441406
2021-10-27,174.7532196044922
2021-10-28,185.20773315429688
2021-10-29,187.06631469726562
2021-11-01,189.4824676513672
2021-11-02,192.45620727539062
2021-11-03,194.77943420410156
2021-11-04,196.35923767089844
2021-11-05,195.80165100097656
2021-11-08,196.8238983154297
2021-11-09,197.19558715820312
2021-11-10,193.75721740722656
2021-11-11,197.66024780273438
2021-11-12,198.49659729003906
2021-11-15,199.3329620361328
2021-11-16,199.61175537109375
2021-11-17,200.3551788330078
2021-11-18,199.9834747314453
2021-11-19,200.54104614257812
2021-11-22,196.4521484375
2021-11-23,190.87640380859375
2021-11-24,189.01780700683594
2021-11-25,191.1551971435547
2021-11-26,186.0441131591797
2021-11-29,187.62388610839844
