Date,BIRLACORPN.NS
2016-05-31,385.57763671875
2016-06-01,383.12554931640625
2016-06-02,384.1434326171875
2016-06-03,381.9689025878906
2016-06-06,378.9153747558594
2016-06-07,384.51348876953125
2016-06-08,388.90875244140625
2016-06-09,386.4103698730469
2016-06-10,387.65960693359375
2016-06-13,385.20751953125
2016-06-14,388.7698974609375
2016-06-15,409.173095703125
2016-06-16,409.82080078125
2016-06-17,421.8036193847656
2016-06-20,448.730224609375
2016-06-21,455.9013671875
2016-06-22,456.5028076171875
2016-06-23,469.50341796875
2016-06-24,455.71630859375
2016-06-27,503.554931640625
2016-06-28,508.96807861328125
2016-06-29,521.6911010742188
2016-06-30,523.37451171875
2016-07-01,509.4390869140625
2016-07-04,514.3491821289062
2016-07-05,516.5938110351562
2016-07-07,517.342041015625
2016-07-08,506.7735290527344
