Date,PSA
2016-04-28,172.3843536376953
2016-04-29,169.4767608642578
2016-05-02,174.8488311767578
2016-05-03,175.31959533691406
2016-05-04,178.24794006347656
2016-05-05,180.03404235839844
2016-05-06,182.28392028808594
2016-05-09,183.301513671875
2016-05-10,183.4123077392578
2016-05-11,179.49403381347656
2016-05-12,183.2392578125
2016-05-13,181.30087280273438
2016-05-16,183.43309020996094
2016-05-17,178.77407836914062
2016-05-18,175.71420288085938
2016-05-19,172.9312286376953
2016-05-20,174.71728515625
2016-05-23,174.3642578125
2016-05-24,176.10879516601562
2016-05-25,175.3818817138672
2016-05-26,175.93569946289062
2016-05-27,176.6903076171875
2016-05-31,175.63807678222656
2016-06-01,177.770263671875
2016-06-02,178.59413146972656
2016-06-03,180.17245483398438
2016-06-06,178.19947814941406
