Date,XYL
2016-04-28,37.6683235168457
2016-04-29,37.31996536254883
2016-05-02,37.73978805541992
2016-05-03,37.4092903137207
2016-05-04,36.84653854370117
2016-05-05,37.096649169921875
2016-05-06,37.418209075927734
2016-05-09,37.159175872802734
2016-05-10,37.989891052246094
2016-05-11,38.302528381347656
2016-05-12,38.62410354614258
2016-05-13,38.543701171875
2016-05-16,38.7938232421875
2016-05-17,38.83847427368164
2016-05-18,38.6419563293457
2016-05-19,38.47224426269531
2016-05-20,38.86528396606445
2016-05-23,38.99527359008789
2016-05-24,39.85586929321289
2016-05-25,40.08893585205078
2016-05-26,40.10685348510742
2016-05-27,39.9544563293457
2016-05-31,40.03513717651367
2016-06-01,40.178565979003906
2016-06-02,40.5281867980957
2016-06-03,40.77021789550781
2016-06-06,40.95848083496094
